!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,BATCH (DOME) ID,,,Treatment Name,4-character Climate ID code,Climate scenario category,Climate replication number for multiple realizations of weather data (ask Alex),Crop model simulation set,Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,DOME ID for Batch DOME,Translator version,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity,"Transpiration, cumulative from planting to harvest","Evaporation,soil, cumulative from planting to harvest","Solar radiation, average, sowing to harvest","Maximum daily air temperature, average, sowing to harvest","Minimum daily air temperature, average, sowing to harvest","Daily air temperature, average, sowing to harvest","CO2 concentration, atmospheric average over day"
!,text,text,text,text,text,text,number,number,text,code,code,number,code,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha,mm,mm,MJ/m2.d,C,C,C,vpm
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,BATCH_DOME,BATCH_RUN#,RUN#,TRT_NAME,CLIM_ID,CLIM_CAT,CLIM_REP,CMSS,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,BDID,TOOL_VERSION,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S,EPCP_S,ESCP_S,SRAA_S,TMAXA_S,TMINA_S,TAVGA_S,CO2D_S
*,,"MACH0001_1__11","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",11,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1991-02-24,1991-03-26,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","3378","7318","1991-05-13","1991-07-08","1991-07-08","1.3","161.7","273.8","88","0","","","17.6","26.2","15.6","20.9","361.0"
*,,"MACH0001_1__12","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",12,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1992-03-08,1992-04-07,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","3084","6640","1992-05-29","1992-08-02","1992-08-02","1.4","216.3","234.4","85","3","","","17.1","25.0","14.4","19.7","361.0"
*,,"MACH0001_1__13","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",13,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1993-02-10,1993-03-12,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","2158","5533","1993-04-29","1993-06-21","1993-06-21","1.5","90.9","225.7","68","0","","","20.5","27.2","15.5","21.35","361.0"
*,,"MACH0001_1__14","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",14,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1994-02-03,1994-03-05,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","4043","8889","1994-04-21","1994-06-15","1994-06-15","1.5","169.1","313.8","111","0","","","20.6","27.3","15.5","21.4","361.0"
*,,"MACH0001_1__15","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",15,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1995-01-31,1995-03-02,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","3551","7473","1995-04-19","1995-06-12","1995-06-12","1.2","231.7","315.3","91","0","","","19.5","26.7","15.4","21.05","361.0"
*,,"MACH0001_1__16","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",16,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1996-02-27,1996-03-28,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","3590","7324","1996-05-16","1996-07-18","1996-07-18","1.2","173.1","277.6","87","0","","","16.7","25.6","14.3","19.95","361.0"
*,,"MACH0001_1__17","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",17,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1997-02-28,1997-03-30,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","3062","6711","1997-05-20","1997-07-21","1997-07-21","1.2","279.0","254.6","81","6","","","17.3","25.3","14.6","19.95","361.0"
*,,"MACH0001_1__18","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",18,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1998-02-06,1998-03-08,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","4283","8621","1998-04-25","1998-06-19","1998-06-19","1.3","431.4","383.8","108","10","","","19.1","26.5","15.6","21.05","361.0"
*,,"MACH0001_1__19","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",19,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",1999-02-08,1999-03-10,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","3581","8165","1999-04-28","1999-06-23","1999-06-23","1.4","216.6","314.9","98","0","","","19.0","26.4","15.5","20.95","361.0"
*,,"MACH0001_1__20","MACHAKOS-1-----FIELD","MACHAKOS-1----0XFX-BASELINE","","","",20,"","0XFX","",1,"CM1","MACHAKOS","1",,,AgMIP,0,MK10,TOA0235063,-1.9527,37.3876,"Maize",990003,"SHORT SEASON",2000-02-26,2000-03-27,,,,2,90,"Furrow, mm",2,3,0,0,7141,,"","a6abab496c14ce83d181c660e7de76caadf9bf35002fea8a6fd090e0f98985cf","6e9195ee95d86a219723b7ed4c6d70e4ffaa78a7e02c3639f54303f13645dbcd","2900dcf952650c3871d7d3412a4883c60bc3b0d66e49b7a7bb9e38916c483f93","1edb6ec17595a44b2f6bc0253e1d1441d51e40f82e3872f444928e81a0ef20d9","9b29ad3bfc56741e69b25b778fc5217ec2231be6e292bdeec756cbd06ee7e2fc","","","quadui=Version 1.3.8-final(release)|acmoui=Version 1.2.2-final(release)",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.020 -release","2382","5455","2000-05-14","2000-07-12","2000-07-12","1.3","114.5","246.2","68","0","","","18.0","26.2","14.8","20.5","361.0"
