#,EXNAME,FL_LAT,FL_LONG,WST_ID,SOIL_ID,PDATE,CRID,FEN_TOT,OM_TOT,HDATE,HWAH,BWAH,TR_NOTES,,,,,,,,,,,,,
!,NIORO037,13.5861,-15.5782,MEDI,ITSN840042-A1,2007-07-03,MAZ,25,0,2007-09-21,50,,,,,,,,,,,,,,,
!,NIORO038,13.5861,-15.5782,MEDI,ITSN840042-A1,2007-07-08,MAZ,8,0,2007-09-26,600,,,,,,,,,,,,,,,
!,NIORO039,13.5861,-15.5782,MEDI,ITSN840042-A1,2007-07-12,MAZ,28,0,2007-09-30,600,,,,,,,,,,,,,,,
!,NIORO040,13.5861,-15.5782,MEDI,ITSN840042-A1,2007-07-13,MAZ,18,0,2007-10-01,1073,,,,,,,,,,,,,,,
!,NIORO041,13.5861,-15.5782,MEDI,ITSN840042-A1,2007-07-21,MAZ,33,0,2007-10-09,260,,,,,,,,,,,,,,,
!,NIORO042,13.5861,-15.5782,MEDI,ITSN840042-A1,2007-07-15,MAZ,0,0,2007-10-03,125,,,,,,,,,,,,,,,
!,NIORO043,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-06-29,MAZ,28,0,2007-09-17,300,,,,,,,,,,,,,,,
!,NIORO044,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-07-18,MAZ,0,0,2007-10-06,395,,,,,,,,,,,,,,,
!,NIORO045,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-07-10,MAZ,0,0,2007-09-28,1000,,,,,,,,,,,,,,,
!,NIORO046,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-06-29,MAZ,47,0,2007-09-17,500,,,,,,,,,,,,,,,
!,NIORO047,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-07-11,MAZ,0,0,2007-09-29,200,,,,,,,,,,,,,,,
!,NIORO048,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-07-02,MAZ,0,0,2007-09-20,1325,,,,,,,,,,,,,,,
!,NIORO049,13.7331,-15.6373,NDIB,ITSN840056-A1,2007-07-17,MAZ,31,0,2007-10-05,380,,,,,,,,,,,,,,,
!,NIORO050,13.7042,-15.5114,NGAY,ITSN840080-A1,2007-07-15,MAZ,31,0,2007-10-03,200,,,,,,,,,,,,,,,
!,NIORO051,13.7042,-15.5114,NGAY,ITSN840080-A1,2007-07-08,MAZ,125,0,2007-09-26,200,,,,,,,,,,,,,,,
