#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!,!Stratum,,!,MAN_ID,
*,NIORO052,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO052,NGAY,ITSN840080,1,,4,,,,
*,NIORO053,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO053,NGAY,ITSN840080,1,,4,,,,
*,NIORO054,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO054,NGAY,ITSN840080,1,,4,,,,
*,NIORO055,NIORO------Soil1,NIORO-3----0XFX-CURRENT,,!,NIORO055,NGAY,ITSN840080,1,,3,,,,
*,NIORO056,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO056,NGAY,ITSN840080,1,,4,,,,
*,NIORO057,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO057,NGAY,ITSN840080,1,,4,,,,
*,NIORO058,NIORO------Soil1,NIORO-5----0XFX-CURRENT,,!,NIORO058,NGAY,ITSN840080,1,,5,,,,
*,NIORO059,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO059,NGAY,ITSN840080,1,,4,,,,
*,NIORO060,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO060,NGAY,ITSN840080,1,,4,,,,
*,NIORO061,NIORO------Soil1,NIORO-4----0XFX-CURRENT,,!,NIORO061,NGAY,ITSN840080,1,,4,,,,
*,NIORO062,NIORO------Soil1,NIORO-5----0XFX-CURRENT,,!,NIORO062,NGAY,ITSN840080,1,,5,,,,
*,NIORO063,NIORO------Soil1,NIORO-2----0XFX-CURRENT,,!,NIORO063,NGAY,ITSN840080,1,,2,,,,
*,NIORO064,NIORO------Soil1,NIORO-1----0XFX-CURRENT,,!,NIORO064,NGAY,ITSN840080,1,,1,,,,
*,NIORO065,NIORO------Soil1,NIORO-6----0XFX-CURRENT,,!,NIORO065,NGAY,ITSN840080,1,,6,,,,
*,NIORO066,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO066,PAOS,ITSN840067,4,,4,,,,
*,NIORO067,NIORO------Soil4,NIORO-5----0XFX-CURRENT,,!,NIORO067,PAOS,ITSN840067,4,,5,,,,
*,NIORO068,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO068,PAOS,ITSN840067,4,,4,,,,
*,NIORO069,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO069,PAOS,ITSN840067,4,,4,,,,
*,NIORO070,NIORO------Soil4,NIORO-1----0XFX-CURRENT,,!,NIORO070,PAOS,ITSN840067,4,,1,,,,
*,NIORO071,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO071,PAOS,ITSN840067,4,,4,,,,
*,NIORO072,NIORO------Soil4,NIORO-5----0XFX-CURRENT,,!,NIORO072,PORO,ITSN840067,4,,5,,,,
*,NIORO073,NIORO------Soil4,NIORO-5----0XFX-CURRENT,,!,NIORO073,PORO,ITSN840067,4,,5,,,,
*,NIORO074,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO074,PORO,ITSN840067,4,,4,,,,
*,NIORO075,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO075,PORO,ITSN840067,4,,3,,,,
*,NIORO076,NIORO------Soil4,NIORO-5----0XFX-CURRENT,,!,NIORO076,PORO,ITSN840067,4,,5,,,,
*,NIORO077,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO077,PORO,ITSN840067,4,,3,,,,
*,NIORO078,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO078,PORO,ITSN840067,4,,4,,,,
*,NIORO079,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO079,PORO,ITSN840067,4,,3,,,,
*,NIORO080,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO080,PORO,ITSN840067,4,,3,,,,
*,NIORO081,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO081,PORO,ITSN840067,4,,3,,,,
*,NIORO082,NIORO------Soil4,NIORO-2----0XFX-CURRENT,,!,NIORO082,PORO,ITSN840067,4,,2,,,,
*,NIORO083,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO083,PORO,ITSN840067,4,,3,,,,
*,NIORO084,NIORO------Soil4,NIORO-7----0XFX-CURRENT,,!,NIORO084,PORO,ITSN840067,4,,7,,,,
*,NIORO085,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO085,PORO,ITSN840067,4,,4,,,,
*,NIORO086,NIORO------Soil4,NIORO-6----0XFX-CURRENT,,!,NIORO086,PORO,ITSN840067,4,,6,,,,
*,NIORO087,NIORO------Soil4,NIORO-6----0XFX-CURRENT,,!,NIORO087,PORO,ITSN840067,4,,6,,,,
*,NIORO088,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO088,PORO,ITSN840067,4,,4,,,,
*,NIORO089,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO089,PORO,ITSN840067,4,,4,,,,
*,NIORO090,NIORO------Soil4,NIORO-2----0XFX-CURRENT,,!,NIORO090,PORO,ITSN840067,4,,2,,,,
*,NIORO091,NIORO------Soil4,NIORO-3----0XFX-CURRENT,,!,NIORO091,PORO,ITSN840067,4,,3,,,,
*,NIORO092,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO092,PORO,ITSN840067,4,,4,,,,
*,NIORO093,NIORO------Soil4,NIORO-6----0XFX-CURRENT,,!,NIORO093,PORO,ITSN840067,4,,6,,,,
*,NIORO094,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO094,PORO,ITSN840067,4,,4,,,,
*,NIORO095,NIORO------Soil4,NIORO-5----0XFX-CURRENT,,!,NIORO095,PORO,ITSN840067,4,,5,,,,
*,NIORO096,NIORO------Soil4,NIORO-2----0XFX-CURRENT,,!,NIORO096,PORO,ITSN840067,4,,2,,,,
*,NIORO097,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO097,PORO,ITSN840067,4,,4,,,,
*,NIORO098,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO098,PORO,ITSN840067,4,,4,,,,
*,NIORO099,NIORO------Soil4,NIORO-4----0XFX-CURRENT,,!,NIORO099,PORO,ITSN840067,4,,4,,,,
*,NIORO100,NIORO------Soil4,NIORO-5----0XFX-CURRENT,,!,NIORO100,PORO,ITSN840067,4,,5,,,,
