! Definitions,Experiment name,Dome name for field overlay (regional management assumptions),Dome name for seasonal strategy (multi-year or management regimens),,,,,,,,,! Soil Types used for Field overlay DOME,,,,,,
! Units,,Copy name(s) from field overlay file,Copy name(s) from seasonal strategy file,,,,,,,,,!,!Soil #,!Soil_ID,!Field Overlay name,!,!,
#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!Stratum,,!,2,ITSN840042,NIORO---A1---Soil2_A1,,,
*,NIORO028,NIORO---A1---Soil2_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO028,MEDI,ITSN840042,2,2,,,,,,,,
*,NIORO029,NIORO---A1---Soil2_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO029,MEDI,ITSN840042,2,4,,,,,,,,
*,NIORO030,NIORO---A1---Soil2_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO030,MEDI,ITSN840042,2,4,,,,,,,,
*,NIORO031,NIORO---A1---Soil2_A1,NIORO-7--A1--0XFX-CURRENT,,!,NIORO031,MEDI,ITSN840042,2,7,,,,,,,,
*,NIORO032,NIORO---A1---Soil2_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO032,MEDI,ITSN840042,2,3,,,,,,,,
*,NIORO033,NIORO---A1---Soil2_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO033,MEDI,ITSN840042,2,3,,,,,,,,
*,NIORO034,NIORO---A1---Soil2_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO034,MEDI,ITSN840042,2,6,,,,,,,,
*,NIORO035,NIORO---A1---Soil2_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO035,MEDI,ITSN840042,2,4,,,,,,,,
*,NIORO036,NIORO---A1---Soil2_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO036,MEDI,ITSN840042,2,3,,,,,,,,
*,NIORO037,NIORO---A1---Soil2_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO037,MEDI,ITSN840042,2,3,,,,,,,,
*,NIORO038,NIORO---A1---Soil2_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO038,MEDI,ITSN840042,2,2,,,,,,,,
*,NIORO039,NIORO---A1---Soil2_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO039,MEDI,ITSN840042,2,6,,,,,,,,
*,NIORO040,NIORO---A1---Soil2_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO040,MEDI,ITSN840042,2,4,,,,,,,,
*,NIORO041,NIORO---A1---Soil2_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO041,MEDI,ITSN840042,2,6,,,,,,,,
*,NIORO042,NIORO---A1---Soil2_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO042,MEDI,ITSN840042,2,4,,,,,,,,
*,NIORO043,NIORO---A1---Soil3_A1,NIORO-2--A1--0XFX-CURRENT,,!,NIORO043,NDIB,ITSN840056,3,2,,,,,,,,
*,NIORO044,NIORO---A1---Soil3_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO044,NDIB,ITSN840056,3,6,,,,,,,,
*,NIORO045,NIORO---A1---Soil3_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO045,NDIB,ITSN840056,3,3,,,,,,,,
*,NIORO046,NIORO---A1---Soil3_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO046,NDIB,ITSN840056,3,4,,,,,,,,
*,NIORO047,NIORO---A1---Soil3_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO047,NDIB,ITSN840056,3,3,,,,,,,,
